BEGIN_YEARMONTH,BEGIN_DAY,STATE,MONTH_NAME,EVENT_TYPE,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,BEGIN_LAT,BEGIN_LON,DATA_SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195004,28,KANSAS,April,Tornado,4/28/1950 17:00,CST,4/28/1950 17:00,F1,19.8,33,,38.12,-95.85,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,4,KANSAS,May,Tornado,5/4/1950 20:00,CST,5/4/1950 20:00,F1,0,33,,38.68,-99.32,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,4,KANSAS,May,Tornado,5/4/1950 23:10,CST,5/4/1950 23:10,F4,19.3,150,,38.03,-99.12,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,4,KANSAS,May,Tornado,5/4/1950 23:30,CST,5/4/1950 23:30,F4,14.5,150,,38.27,-98.92,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,5,KANSAS,May,Tornado,5/5/1950 3:30,CST,5/5/1950 3:30,F3,3.3,440,,39.62,-95.62,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,5,KANSAS,May,Tornado,5/5/1950 3:40,CST,5/5/1950 3:40,F3,14,440,,39.65,-95.57,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,8,KANSAS,May,Tornado,5/8/1950 18:30,CST,5/8/1950 18:30,F2,12.6,660,,39.35,-98.48,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,8,KANSAS,May,Tornado,5/8/1950 19:00,CST,5/8/1950 19:00,F2,6.8,33,,39.57,-98.3,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,8,KANSAS,May,Tornado,5/8/1950 19:30,CST,5/8/1950 19:30,F2,19.6,440,,39.23,-98.95,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,8,KANSAS,May,Tornado,5/8/1950 21:17,CST,5/8/1950 21:17,F1,0,33,,39.4,-97.65,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195008,6,KANSAS,August,Tornado,8/6/1950 18:00,CST,8/6/1950 18:00,F2,0,33,,37.97,-100.77,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195008,6,KANSAS,August,Tornado,8/6/1950 18:30,CST,8/6/1950 18:30,F2,8.7,33,,39.13,-100.63,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195008,28,KANSAS,August,Tornado,8/28/1950 14:50,CST,8/28/1950 14:50,F1,7.2,33,,37.47,-100.82,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,8,KANSAS,May,Tornado,5/8/1950 21:30,CST,5/8/1950 21:30,F1,0,33,,39.72,-97.77,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,9,KANSAS,May,Tornado,5/9/1950 0:01,CST,5/9/1950 0:01,,0,33,,39.2,-96.58,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,16,KANSAS,May,Tornado,5/16/1950 18:00,CST,5/16/1950 18:00,F2,0.2,200,,37.55,-98.42,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,18,KANSAS,May,Tornado,5/18/1950 19:00,CST,5/18/1950 19:00,F0,0,33,,39.85,-98.3,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,18,KANSAS,May,Tornado,5/18/1950 19:00,CST,5/18/1950 19:00,F3,14.9,100,,38.12,-96.82,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,19,KANSAS,May,Tornado,5/19/1950 1:30,CST,5/19/1950 1:30,F0,0.1,33,,37.82,-96.85,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,23,KANSAS,May,Tornado,5/23/1950 18:00,CST,5/23/1950 18:00,F0,0.2,250,,39.75,-99.32,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,24,KANSAS,May,Tornado,5/24/1950 13:30,CST,5/24/1950 13:30,F2,3.6,77,,37.27,-99.48,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195005,24,KANSAS,May,Tornado,5/24/1950 17:30,CST,5/24/1950 17:30,F1,10.7,40,,39.38,-96.97,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195006,8,KANSAS,June,Tornado,6/8/1950 20:10,CST,6/8/1950 20:10,F4,0,700,,38.33,-97.93,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195006,8,KANSAS,June,Tornado,6/8/1950 20:15,CST,6/8/1950 20:15,F4,17.1,700,,38.33,-97.92,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195006,16,KANSAS,June,Tornado,6/16/1950 15:30,CST,6/16/1950 15:30,F1,29.9,33,,38.28,-101.28,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195006,25,KANSAS,June,Tornado,6/25/1950 18:45,CST,6/25/1950 18:45,F0,0.1,33,,37.77,-97.47,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195006,25,KANSAS,June,Tornado,6/25/1950 21:00,CST,6/25/1950 21:00,F0,0.1,33,,39.5,-99.62,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195007,1,KANSAS,July,Tornado,7/1/1950 12:00,CST,7/1/1950 12:00,F1,0,33,,39.3,-96.92,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195007,1,KANSAS,July,Tornado,7/1/1950 12:00,CST,7/1/1950 12:00,F2,0,33,,38.7,-97.08,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195007,18,KANSAS,July,Tornado,7/18/1950 16:30,CST,7/18/1950 16:30,F1,0,33,,37.68,-95.52,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195008,6,KANSAS,August,Tornado,8/6/1950 15:00,CST,8/6/1950 15:00,F1,0,33,,39.93,-101,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195007,2,KANSAS,July,Tornado,7/2/1950 19:00,CST,7/2/1950 19:00,F2,1,90,,38.47,-100.88,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195007,8,KANSAS,July,Tornado,7/8/1950 22:45,CST,7/8/1950 22:45,F1,1,90,,39.82,-96.8,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,17,KANSAS,June,Tornado,6/17/1951 22:00,CST,6/17/1951 22:00,F0,0.7,33,,39.07,-100.23,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,8,KANSAS,May,Tornado,5/8/1951 18:00,CST,5/8/1951 18:00,F1,0,33,,38.38,-101.55,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
